# ECDICT bc015ed2e24a7abef49fc6dbbb7fe32c1dadaf8b | sha256 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf | pack bnc | entries 40470
embark	im'bɑ:k	vi. 乘船，着手，从事，上飞机vt. 使上船，使上飞机，使从事
cadiz		n. 加的斯
roundel	'raundl	n. 圆形饰物，小圆盘
readmission	,ri:әd'miʃәn	n. 重新接纳
dubois	dju'bwɑ:	迪布瓦（①姓氏 ②Paul, 1829-1905, 法国雕刻家）
castell		卡斯泰尔（德国地名）
farrier	'færiә	n. 蹄铁匠，兽医
staples		n. 主要产物，主要原料（staple的复数）n. (Staples)人名；（英）斯特普尔斯v. 分类，选择（staple的第三人称单数）
lehmann	'leimәn	莱曼（姓氏）
abigail	'æbigeil	n. 贴身使女
microbe	'maikrәub	n. 微生物，细菌[医] 微生物
rudd	rʌd	n. 红眼鱼
osiris	әu'sairis	n. 奥西里斯（司阴府之神）
fortran	'fɔ:træn	FORTRAN语言[计] FORTRAN语言，公式翻译语言
lavinia	lə'viniə	n. 拉维尼娅（拉丁努斯之女）；（拉）拉维妮娅（女子名）
cagney		（人名）卡格尼
spiritualist	'spiritjjәlist,-tʃjә-	n. 唯灵论者，迷信招魂术者
martinez		n. 马丁内斯（男子名）
manchuria	mæn'tʃuriә	n. 满洲（东北的旧称）
arabella	,ærә'belә	n. 阿拉贝拉(f.)
bab	bɑ: b	n. 巴布（女子名，等于Barbara）
whelk	'hwelk	n. 酒刺，峨螺[医] 酒刺，面部丘疹
ageism	'eidʒizәm	[法] 年龄歧视
lorne		罗恩（澳大利亚城市）洛恩（人名）
larval	'lɑ:vәl	a. 幼虫的，幼虫状态的[医] 幼虫的，蚴的，隐蔽的，潜在的
chlorofluorocarbon	ˌklɔ:rəʊˈflʊərəʊkɑ:bən	n. <化>含氯氟烃（即破坏臭氧层的CFC）
mair	meә	[苏]更多的，更大的，更好的，(=more)另外的，其余的
evaluator	i'væljjeitә(r)	[计] 计算多项式，求值子，鉴别程序，鉴别器
ramos		n. 拉莫斯（男子名）；蓝魔（数码产品品牌）
carlson		n. 卡尔森（公司名）；卡尔松（姓氏）
southey	'sauði, 'sʌði	n. 骚塞（姓氏）
terrence	tərrəns	n. 特伦斯（男子名）
app		[计] 应用，应用程序; 相联并行处理器
lexington	'leksiŋtәn	n. 列克星敦市（位于美国肯塔基州）
guernica	'ɡwεənikə	n. 格尔尼卡（西班牙中北部城镇）；格尔尼卡（毕加索的名画之一）
fontaine		常流泉
sergio		n. 塞尔吉奥（NBA球员）
goalmouth	ˈgəʊlmaʊθ	n. （足球）球门
wordlessly	ˈwɜ:dlɪslɪ	adv. 默默无言地，沉默地
wanly		adv. 苍白地；衰弱地；暗淡地
soundlessly	'saundlisli	adv. 无声地，完全静寂地，静悄悄地
disbelievingly	ˌdɪsbɪ'li:vɪŋlɪ	adv. 怀疑地，不信相地
centaur	'sentɒ:	n. 半人半马的怪物，半人马座
behaviourism	bi'heivjәrizəm	n. <英>行动主义
almshouse	'ɑ:mzhaus	n. 救济院，贫民所
perrin	'perin, pe'ræŋ	佩兰（Jean Baptiste, 1870-1942, 法国物理学家，曾获1926年诺贝尔物理学奖）
hodson		n. (Hodson)人名；（英）霍德森
gosling	'gɒzliŋ	n. 小鹅，年轻无知的人
aphrodite	.æfrәu'daiti	n. 阿佛洛狄特（爱与美的女神）[化] 泡石; 镁泡石
xl		abbr. 特大号（extra large）
extradite	'ekstrәdait	vt. 引渡，获取（逃犯等）的引渡[法] 引渡，使被引渡
ringo		n. 张灵康（男子名）
pieter		皮耶特（人名）
kwik		n. (Kwik)人名；（东南亚国家华语）郭；（瑞典）奎克
microbial	mai'krәubiәl	a. 微生物的，由细菌引起的[医] 微生物的
follicle	'fɒlikl	n. 小囊，滤泡[医] 滤泡，小囊; 卵泡; ńň（植）
coriander	,kɔri'ændә	n. 芫荽[医] 芫荽，胡荽
bauxite	'bɒ:ksait	n. 铝矾土，铝土矿[化] 铝土矿
teddington	'tediŋtәn	特丁顿（英国国立物理研究所所在地）
ronan		n. (Ronan)人名；（英、意、葡）罗南
mtv		abbr. 音乐电视（Music Television）
cilla		n. (Cilla)人名；（意）奇拉；（西）西利亚
boucher		n. 鲍彻（美国国务院发言人）；布雪（画家）；布歇（姓氏）
boardman	'bɔ:dmən	n. 搞布景的人n. (Boardman)人名；（英）博德曼
postnatal	pәust'neitl	a. 产后的[医] 生后的
lyceum	lai'siәm	n. 讲演厅，学会
dermatologist	.dә:mә'tɒlәdʒist	n. 皮肤学者，皮肤科医生[医] 皮肤病学家，皮肤科医师
breathable		a. 可以吸入的，适宜于吸入的
bipartisan	bai,pɑ:ti'zæn	a. 两党连立的
bidet	bidet	n. 小浴盆，坐浴盆[医] 坐浴盆
whitworth	'hwitw\\\\:θ	thread [机]惠氏螺纹，英制螺纹
navarre	nә'vɑ:(r)	n. 纳瓦拉（中世纪时期的位于西班牙东北部和法国西南部的王国）
langdon		兰登（人名、地名）
henson		亨森（英格兰人姓氏）
hampson		n. (Hampson)人名；（英）汉普森
halford		n. (Halford)人名；（英、德）哈尔福德
fashanu		n. (Fashanu)人名；（尼日利）法沙努
etna	'etnә	n. 小酒精炉
depardieu		n. (Depardieu)人名；（法）德帕尔迪厄
banda	'bɑ:ndә	n. 茅屋；班达（墨西哥舞曲）
vomiting		n. 呕吐[医] 呕吐
stockbroking		n. 代客买卖证券业务
reactivity	,ri(:)æk'tiviti	n. 反应，反动，反应性，活动性，反应率[医] 反应性
gruffly	'grʌfli	adv. 粗暴地，粗声地
glam	ɡlæm	a. 迷人的，富有魅力的
convulsively	kən'vʌlsɪvlɪ	adv. 痉挛性地
conman		[法] 骗子
vaux	vɔ:z, vɔks	沃克斯（姓氏）
neue		尼（姓氏）
keaton		基顿（人名）
jarrett		贾勒特（人名）
dunwoody		n. (Dunwoody)人名；（英）邓伍迪
albrecht		n. (Albrecht)人名；（英、瑞典、芬）阿尔布雷克特；（捷、波、荷）阿尔布雷赫特；（德、罗）阿尔布雷希特
zomby		僵停
votive	'vәutiv	a. 奉献的，还愿的，表示愿心的
terrine	te'ri:n	n. 陶制盖碗，陶制盖碗食品，（烧菜兼上菜用的）沙锅
mezzanine	'mezәni:n	n. 两层楼之间的夹层楼面
metamorphic	.metә'mɒ:fik	a. 变化的，变性的，变态的[医] 变态的
insurgency	in'sә:dʒәnsi	n. 叛乱状态，发生暴动[法] 暴动，起义，叛乱
acanthus	ә'kænθәs	n. 叶形装饰
rampton		n. (Rampton)人名；（英）兰普顿
quincey		n. (Quincey)人名；（法）坎塞；（英）昆西昆西
paignton		n. 佩恩顿
mor	mɒ:	n. 粗腐殖质
mendel	'mendl	n. 孟德尔（奥地利遗传学家）
lhasa	'lɑ:sә	n. 拉萨（中国西藏藏族自治区首府）
leroy	'lerɔi	n. 勒罗伊（男子名）
hu		abbr. 海南航空公司在国际航空运输协会中的二字代码；匈牙利（Hungary）；英国无国界卫生组织（Health Limited）
bratislava	,bræti'slɑ:vә	布拉迪斯拉发[捷克斯洛伐克中南部城市]
summerhouse	'sʌmәhaus	n. 凉亭，亭子
somatic	sәu'mætik	a. 身体的，肉体的，壁体的[医] 躯体的，体壁的
rhodesian	rəu'di:ziən	n. 罗得西亚（前南非一地区）人
injected	inˈdʒektid	a. [医]注入的，充血的v. （给…）注射（药物等）（ inject的过去式和过去分词 ）; （给…）注射（液体）; （给…）添加; （给…）投入（资金）
geothermal	,dʒi(:)әu'θәmәl	a. 地温的，地热的
alum	'ælәm	n. 明矾，矾，校友[化] 明矾; 钾铝明矾
tues		abbr. 星期二（tuesday）
thanet		n. (Thanet)人名；（法）塔内；（泰）他内
signora	si:'njɔ:rә	n. 夫人，太太，已婚女子
renfrew	'renfru:	n. 伦弗鲁（英国一城市）
reichstag	'raikstɑ:^	n. 德意志帝国国会，德意志（魏玛）共和国国民议会，德国国会大厦
levitt		莱维特（人名）
reprocess	'ri:'prәuses	[化] 后处理; 再处理
oxidise	'ɔksidaiz	vi.vt. （使）氧化，（使）生锈
hee		abbr. 家庭娱乐引擎（Home Entertainment Engine）；高情绪表达（High Expressed Emotion）；韩依依（服装品牌）
gulley	'ɡʌlɪ	n. 隘谷，溪沟
distributional		[计] 分布的
cottager	'kɔtidʒә(r)	n. （英）村民，（美）住在避暑地别墅中的人
colosseum	,kɔlә'siәm	n. 罗马圆形大剧场（建于公元80年，耗时5年，至今大部分尚存）
centralism	'sentrәlizm	n. 中央集权制[法] 中央集权制，中央集权主义
babylonian	.bæbi'lɒnjәn	a. 巴比伦的，罪恶的
nomura		n. 野村证券；野村（日本企业）
lusaka	lu:'sɑ:kә	n. 卢萨卡（赞比亚首都）
fryer	fraiә	n. 做油煎食物的人，可供油炸的食品，油炸锅
brice	brais	n. 布赖斯（男子名）
rood	ru:d	n. 十字架，十字架上的基督像
calvinist	'kælvinist	n. 加尔文教徒
watkinson		n. (Watkinson)人名；（英）沃特金森
stanhope	'stænhәup	n. 单座敞篷轻便马车
hines		海恩斯（人名）
gayle		[医] 羊产后热
dorling		（英国一地名）道灵
wesleyan	'wezliәn	a. 卫斯理公会派的；约翰卫斯理的
sunni	'suni:	n. 〈伊斯兰〉逊尼派教徒
recruiter	ri'kru:tә	n. 招聘人员，征兵人员
palaeolithic	,pæliәu'liθik	a. 旧石器时代的
freestyle	'fri:stail	n. 自由式
featherweight	'feðәweit	n. 非常轻的人或物，不重要的人，轻量级选手
boatyard	'bәut.jɑ:d	n. 船坞；造船厂
shoreditch		肖迪奇（地名，英国伦敦的一个地区）
rodin		n. 罗丹（人名）
merrick		n. (Merrick)人名；（英、西、葡）梅里克
galton	'^ɔ:ltәn	高尔顿（①姓氏 ②Sir Francis, 1822-1911, 英国人类学、遗传学、气象学家）
operetta	.ɒpә'retә	n. 小歌剧，轻歌剧
marginalised		（marginalise 的过去分词） v.使显得微不足道；使处于边缘；使无实权
herbivore	'hә:bivɒ:	n. 草食动物
gannet	'gænit	n. 塘鹅
damping	'dæmpiŋ	n. 阻尼，衰减，减幅[计] 衰减; 阻尼
continence	'kɒntinәns	n. 自制[医] 节制; 节欲
rothermere		n. (Rothermere)人名；（英）罗瑟米尔
rochelle	rәu'ʃel	n. 罗谢尔(f.)
loudon		n. (Loudon)人名；（英、意、荷）劳登
iba	i'bɑ:	伊拜（菲律宾的中型乔木）
toolbox	'tu:lbɒks	n. 工具箱[计] 工具箱
monogamy	mɒ'nɒgәmi	n. 一夫一妻制[医] 单配
methanol	'meθәnәul	n. 甲醇[化] 甲醇
grandmaster	ɡ'rændm'ɑ:stə	大师（最高棋手等的称号）
federalist		n. 联邦制拥护者[法] 联邦党，联邦派，联邦制拥护者
whitton		n. (Whitton)人名；（英）惠顿
tomlin		汤姆林
tass	tæs, tɑ:s	塔斯社[经] 塔斯社
ransome		[人名] [英格兰人姓氏] 兰塞姆取自父名，来源于Rand↑1, 含义是“兰德之子”(son of Rand)
pentecost	'pentikɔst	n. 圣灵降临节
mchugh		麦克休（人名）
burghley	'bә:li	,lst Baron 伯利（William Cecil的称号）
waterfowl	'wɒtәfәul	n. 水鸟
hereinafter	.hiәrin'ɑ:ftә	adv. 以下，在下文中
harmonization	.hɑ:mәnai'zeiʃәn	n. 调和化，融洽，一致
ethylene	'eθili:n	n. 乙烯[化] 乙烯; 1,2-亚乙基
vcr		[化] 长春新碱
speke		n. (Speke)人名；（英）斯皮克
sm		理科硕士[计] 仿真器，同步调制解调器
rosamund	'rәjzәmәnd,'rɔ-	n. 罗莎蒙德（亦作Rosamond）(f.)
katz		卡茨（人名）
farrar	'færә	法勒（姓氏）
carthage	'kɑ:θidʒ	n. 迦太基
abe	eib	n. 亚伯（男子名，等于Abraham）
pollinate	'pɒlineit	vt. 对……授粉
loci	'lәusai	[医] 部位，部，地
lath	læθ. lɑ:θ	n. 板条
inhaler	in'heilә	n. 吸入者，吸入器，空气过滤器[医] 吸入器
helical	'helikәl	a. 螺旋状的[电] 螺线
emir	ә'miә	n. 埃米尔（穆斯林国家酋长等的称号）
rutter	'rʌtә(r)	n. <美><加拿大>开辙犁
pelham	'pelәm	n. 佩勒姆马勒衔
hazlitt		黑兹利特（人名）
ginsberg		金斯伯格
eurodisney		歐洲迪士尼
drs		[计] 数据接收站，数据记录装置，磁盘驻留系统，文档检索系统
beaton		比顿（姓氏）
barre	bɑ:r	n. 扶手杠（装在舞蹈演员练功房内墙上）；（箱包的）横档
waxwork	'wækswә:k	n. 蜡制品，蜡像
bis	bis	国际清算银行[计] 商业信息系统; 副本，次本
wyman		怀曼（人名）
tonga	'tɔŋ^ә	[医] 雅司病
howes		n. (Howes)人名；（英）豪斯
zambian	'zæmbiәn	n. 赞比亚人a. 赞比亚（人）的
herpe		n. (Herpe)人名；（法）埃尔普
zimmerman	'zimәmәn	n. 齐默尔曼（姓氏）
gramsci		葛兰西（人名）
ve		委内瑞拉
latency	'leitnsi	n. 潜伏，潜在[计] 传输时间，传输延迟时间
evangelistic	i.vændʒә'listik	a. 福音书作者的，福音传道者的
egoism	'egәuizm	n. 自我主义，利己主义
acer		n. 宏碁（公司名，主要生产个人电脑产品）
haskins		n. (Haskins)人名；（英）哈斯金斯
neoclassical	'ni:әuklæsikәl	a. 新古典主义的
snape		n. 斯内普（姓氏，或地名，指英国小镇名）
lytham		利松（英国地名）
luxemburg	'lʌksәmbә:g	n. 卢森堡
huw		n. (Huw)人名；（英）休
stratospheric	.strætәu'sferik	a. 同温层的
solubility	.sɒlju'biliti	n. 可溶性，溶解度，解决之可能性[化] 溶解度
recitative	'resiteitiv	a. 吟诵的，背诵的，叙述的
duplex	'dju:pleks	a. 双的，复式的，双联的，二重的，二倍的[计] 双重的; 双工操作; 双工的; 双的; 双向的
chromatic	krәu'mætik	a. 彩色的，色品的，易染色的[医] 色的，易染的，核染质的
mombasa	mɔm'bæsә	蒙巴萨岛[肯尼亚]
subcutaneous	.sʌbkju:'teiniәs	a. 皮下的，皮下用的[医] 皮下的
calcareous	kæl'keәriәs	n. 钙化软骨[化] 石灰质的; 含钙的
volker		n. (Volker)人名；（德）福尔克尔；（法）沃尔克
leland	'li:lәnd	n. 利兰（男子姓氏）
kelley	'keli	n. 凯利（人名）；凯莱（白肋烟品种）
atholl		n. (Atholl)人名；（英）阿索尔
nos		[计] 网络操作系统
canoeist	kә'nu:ist	n. 划独木舟的人
nehru	'neiru:	n. 尼赫鲁（前印度总理）
mold	mәuld	n. 模子，模型，霉v. 形成，塑造，发霉
copernicus	kәu'pә:nikәs	n. 哥白尼
beauvoir		n. (Beauvoir)人名；（法、西）博瓦尔；（英）比弗
arkwright	'ɑ:krait	阿克赖特(①姓氏 ②Sir Richard, 1732-1792, 英国纺织机发明人 ③[arkwright ]（能制箱、柜等的）木匠)
surveying	sә'veiiŋ	n. 测量
prig	prig	n. 一本正经的人，纨绔子弟
lessing	'lesiŋ	莱辛（Gotthold Ephraim, 1729-1781, 德国诗人，批评家及戏剧家）
corinth	'kɔrinθ	科林斯湾（靠希腊伯罗奔尼撒半岛北岸） , 科林斯地峡[希腊中南部]（在伯罗奔尼撒半岛东北端）
connelly		康奈利
swahili	swɑ:'hi:li	n. 斯瓦希里人；斯瓦希里语
migrating		v. 迁徙；迁移；移居（migrate的ing形式）
fahrenheit	'færәnhait	a. 华氏温度计的n. 华氏温度计
salome	sә'lәumi	n. （马太福音中的）萨洛米，萨乐美
underdevelopment	,ʌndәdi'velәpmәnt	n. 发展不充分，不发达，显影不足[医] 显影不足; 发育不全
boogie	'bu(:)^i	（随着摇摆舞音乐节奏）摆动身体，[蔑]黑人
exchanger	iks'tʃeindʒә	n. 交换器[计] 交换程序，交换器
tuba	'tju:bә	n. 大号[医] 管
physic	'fizik	n. 药品，泻药，医学vt. 给……服药，治愈，使通便
equilibria	i:kwɪ'lɪbrɪə	n. 均衡，均势（equilibrium的复数）; 平衡，均势（ equilibrium的名词复数 ）; （心情、感情等）平静
bse	ˌbi:es'i:	abbr. base support equipment 基地支援装备; breast self-examination (cancer control) 乳房自身检查，自行乳腺检查（癌症控制）
riva		n. 莉娃（女子名）
janine		n. 亚尼内（女子名）
inertial	i'nә:ʃәl	a. 惯性的
wp		[计] 字处理，工作区指示字
ventura	ven'turə	n. 凡吐拉市（美国加州）
chow	ʃu:	n. 食物，颚
bassoon	bә'su:n	n. 低音管，巴松管
wagnerian	vɑ:^'niәriәn	（德国歌剧家、作曲家）瓦格纳作风的，作曲家瓦格纳的崇拜者[门徒]
viewfinder	'vju:.faindә	n. （照相机的）取景器[电] 检像器
catriona		n. (Catriona)人名；（英）卡特里奥纳，卡特里奥娜 （女名）
spiro		n. 斯皮罗（男子名）；瑞士事佰诺（公司名）
perkin		n. 珀金（姓氏）
axminster	'æksminstә	n. 一种以黄麻为底之羊毛织花地毯
unbelief	.ʌnbi'li:f	n. 不信，疑惑，不信仰
parr	pɑ:	n. 幼鲑
cowslip	'kajslip	n. 黄花九轮草，立金花
fergusson		n. (Fergusson)人名；（英）弗格森
larceny	'lɑ:sәni	n. 盗窃罪[经] 盗窃
patois	'pætwɑ:	n. 方言，行话
dumbly	'dʌmli	adv. 默默地，无言地
counterpane	'kauntәpein	n. 床罩
hackett		n. (Hackett)人名；（英、瑞典）哈克特
sidelong	'saidlɒŋ	adv. 横向地，向侧面，斜着，间接地a. 横的，斜的，间接的
quaver	'kweivә	vi. 发颤音，颤抖vt. 颤抖地说，用颤声唱出n. 颤抖，颤声，八分音符
maximization	,mæksәmai'zeiʃәn	[计] 极大化，最大化
goalkeeping	'ɡəʊlki:pɪŋ	[体]守门
agrochemical	.ægrәu'kemikәl	n. 农用化学品
wigley		n. (Wigley)人名；（英）威格利
sacked		v. 解雇；洗劫；把…装进袋里；睡觉（sack的过去分词）a. 袋装的；被洗劫的
fx		abbr. 外汇（Foreign Exchange）；固定电台（Fixed Station）
flores	'flɔ:riz	[医] 花; 升华制剂
alkalinity	.ælkә'liniti	n. 碱度[化] 碱度; 碱性
sar		搜索救援
rubinstein		鲁宾斯坦
boothroyd		n. (Boothroyd)人名；（英）布思罗伊德
unincorporated	'ʌnin'kɔ:pәreitid	未组成社团的，未被承认为自治组织的，未包含[合并]在内的
teste		[法] 终结部分
recessive	ri'sesiv	a. 后退的，逆行的，隐性的n. 隐性性状
phenol	'fi:nɒl	n. 苯酚，石炭酸，羟基类化合物[化] 酚; 苯酚
kinetics	kai'netiks	n. 动力学[化] 动理学; 动力学
hindquarter	'haind.kwɒ:tә	n. 后腿，臀部
gainer	'geinә	n. 获得者，得利者，胜利者[经] 获利者
brahmin	'brɑ:min	n. 婆罗门，僧侣
rainer	'reinә	n. 人工降雨装置；喷灌装置
parke		n. (Parke)人名；（英、西、瑞典）帕克
oakes		n. (Oakes)人名；（英）奥克斯
medicare	'medi,keә	n. 医疗照顾方案，医疗照顾项目[法] 公办的医疗保险制
hardman		n. (Hardman)人名；（英）哈德曼
exe		n. 可执行程序的扩展名；[计]DOS文件名：可执行程序，通常大于64K, 比.COM更为复杂
bryson		布赖森（人名）布赖森（地名）
bari	'bɑ:ri	n. 巴里（意大利东南部海港）
aldeburgh		n. (Aldeburgh)人名；（英）奥尔德伯勒
receivable	ri'si:vәbl	a. 可接受的，可收到的n. 应收帐款
pituitary	pi'tju:itәri	n. 脑垂体，垂体制剂[医] [稠]粘液的，垂体的，垂体
mnemonic	ni:'mɒnik	a. 记忆的，助记的n. 助记符[计] 助记的，助记符
clitoris	'klitәris	n. 阴核，阴蒂[医] 阴蒂
littlejohn		n. (Littlejohn)人名；（英）利特尔约翰
kop	kɔp	n. （南非的）小山，山，山岳
glenys		n. (Glenys)人名；（英、西）格莱尼丝
fimbra	'fimbrə	abbr. Financial Intermediaries, Managers and Brokers Association 金融中介人、经理、经纪人联合会
beeston		n. (Beeston)人名；（英）比斯顿
augsburg	'ɔ:^zb\\\\:^	奥格斯堡[德意志联邦共和国南部城市]
ramadan	,ræmә'dɑ:n	n. 斋戒月
monarchical	mɔ'nɑ:kikәl	a. 君主的，君主政体的，君主政治的
manufactory	.mænju'fæktәri	n. 制造厂，工厂[经] 工厂，制造厂
malformation	.mælfɒ:'meiʃәn	n. 变形（体）, 畸形[医] 畸形，变形
ff		[计] 快进，触发器，换页
pennington		彭宁顿（英国城市）
kirkwood		n. (Kirkwood)人名；（英）柯克伍德
kempton		n. (Kempton)人名；（英）肯普顿
jem		abbr. 正义与平等运动（Justice and Equality Movement）；日本通信卫星（Japan Experiment Module）；日本电器制造者协会标准（TheStandard of Japanese Electrical Manufacture's Association）
grover		n. 格鲁佛氏；调弦系统；卷弦器
acas	'eikæs	abbr. （英国）咨询调解和仲裁局（Advisory, Conciliation and Arbitration Service）；分析化学与应用光谱学（analytical chemistry and applied spectroscopy）
sunk	sʌŋk	a. 凹陷的sink的过去式和过去分词
irs		abbr. 美国国税局（Internal Revenue Service）
decommissioning		[化] 退役; 设施退役; 停运
chinaman	'tʃainәmәn	n. 中国佬
ax	æks	n. 斧头vt. 用斧削或砍，削减
vue		abbr. 虚拟机脱壳引擎（Virtual Machine Unpack Engine）；可视用户环境（Visual User Environment）；真实用户环境（Veridical User Environment）；视图文件
vicente		n. 韦森特（男子名）
tutankhamun		n. 图坦卡门（古埃及法老）
snowden	'snәudn	斯诺登（姓氏）
sibelius		n. 西贝流士（古典音乐家）
np		[医] 镎（93号元素）
kendrick		肯德里克
hodgkinson		霍奇金森
havant		哈凡特（英国地名）
triathlon	trai'æθlɔn	n. 〈体〉三项全能运动
tanzanian	,tænzə'niən	a. 坦桑尼亚的坦桑尼亚人
nepalese	.nepә'li:z	a. 尼泊尔的n. 尼泊尔人
glaciation	.gleisi'eiʃәn	n. 冻结成冰，冰川作用
consumable	kәn'sju:mәbl	a. 可消耗的n. 消耗品
trieste	tri:'est,-'este	的里雅斯特 [意大利东北部港市], 的里雅斯特湾（靠意大利东北岸和南斯拉夫西北岸）
risley		n. (Risley)人名；（英）里斯利
ptolemy	'tɔlimi	托勒密（公元2世纪的古希腊天文学家、地理学家、数学家，地心说的创立者）
ossie	'ɔzi	n. & adj.<俚> = Australian
moreton	'mɔ:tən	Bay fig[植]大叶榕
henning		n. 亨宁（男子名）
heller	'helә	n. 捷克货币；昔德国之小铜币
galicia	^ә'liʃiә	加利西亚省（西班牙西北部一省）
chandon		n. (Chandon)人名；（法）尚东
cessna		n. 赛斯纳（美国飞机公司）
bloch	blɔk	n. 布洛赫（人名）
agra	'ɑ:^rә	n. 阿格拉（印度北部一城市）
refractive	ri'fræktiv	a. 折射的，有折射力的[医] 折射的，屈光的
ontology	ɒn'tɒlәdʒi	n. 存在论，本体论，实体论
oedipal	'i:dipәl, 'edi-	[心理]恋母情结的
mimetic	mi'metik, mai-	a. 模仿的，摹拟的，好模仿的，类似的[计] 模拟的，模仿的
lacan		拉康
indictable	in'daitәbl	a. 可起诉的[法] 可被控告的，可提起公诉的
eurasian	ju'reiʒәn	n. 欧亚混血儿a. 欧亚的，欧亚人的
dacha	'dætʃә	n. <俄>俄国郊外的别墅
bhp		abbr. [军]制动马力（Brake Horse Power）
adapter	ә'dæptә	n. 适应者，改编者，接合器[计] 衔接器; 适配器，适配卡
torres		n. 托雷斯（西班牙球星）
tania	'tæniә,-njә	n. [植]芋类
lowndes	laundz	朗兹（姓氏）
imre		n. (Imre)人名；（土）伊姆蕾；（丹）伊姆勒；（罗、塞、意、挪）伊姆雷
haughey		n. (Haughey)人名；（英）豪伊
doughty	'dauti	a. 强悍的，勇敢的，刚强的
caxton	'kækstәn	卡克斯顿（姓氏，William, 1422?-1491, 英国第一位印刷家）
wardship	'wɒ:dʃip	n. 监护[法] 监护，保护，监督
stat	stæt	[电] 静
planar	'pleinә	a. 平面的，在同一平面上的，二维的[电] 平面
meaningfulness	'mi:nɪŋflnəs	n. 富有意义
marsupial	mɑ:'sju:piәl	n. 有袋类动物a. 有袋的，袋状的
mammy	'mæmi	n. 妈妈，保姆
librarianship	lɪ'brɛərɪənʃɪp	图书馆长[图书管理学专家]的职位[资格]
joyrider	'dʒɔi,raidә(r)	n. 乘汽车兜风的人[法] 偷开车者
expansionary	ik'spænʃәnәri	a. 扩张性的，发展性的，展开性的
episcopate	i'piskәpit	n. 主教之职，主教区，主教
coolant	'ku:lәnt	n. 冷却剂[计] 冷却剂
acidification	ә.sidifi'keiʃәn	n. 使发酸，酸化，成酸性[化] 酸化; 加酸
zanzibar	,zænzi'bɑ:	n. 桑给巴尔
zamora		n. (Zamora)人名；（英）扎莫拉；（西、罗）萨莫拉
repton		n. (Repton)人名；（英）雷普顿
ncb		[计] 网络控制块
mcguinness		麦吉尼斯（人名）
haile		n. (Haile)人名；（西）艾莱；（阿拉伯、索、埃塞）海尔；（英）黑尔
stochastic	stәu'kæstik	a. 随机的[计] 随机的
nucleic	nju:'kli:ik	a. 核的
dauphin	'dɒ:fin	n. （法国）皇太子
blocker	'blɔkә	[医] 阻滞物，阻滞剂，阻滞抗体
hf		[医] 铃（72号元素）
unitarian	,ju:ni'teәriәn	a. 唯一神教派的n. 唯一神教派的教徒
transferability	.trænsfәrә'biliti	n. 可转移性，可转让性
traded		v. 交易；贸易（trade的过去分词形式）
supplemental	.sʌpli'mentl	a. 补足的，追加的[医] 补充的，补足的
submersible	sәb'mә:sәbl	a. 能沉入水中的，能潜水的
internationalization	intә,næʃәnәlai'zeiʃәn	n. 国际化，国际共管[经] 国际化
yardley		n. (Yardley)人名；（英）亚德利
royle		罗伊尔（人名）
romney	'rɔmni	n. 罗姆尼羊（英国种肉用羊，毛粗长，适应沼泽地区）
onslow		n. (Onslow)人名；（英）翁斯洛
healy		希利 Healey的变体希利
harewood	'heәwjd	n. （做家具用的）染色槭木
eggar	'e^ә(r)	幼虫食叶子的蛾类，搜集鸡蛋的人
basel	'bɒzәl	n. 巴塞尔（瑞士城市）
individuation	'indi.vidʒu'eiʃәn	n. 个体化，赋予个性，个性化[医] 个性发生，个体化
gouache	ɡu'ɑ:ʃ	n. 树胶水彩画；水粉画；水粉颜料
cytoplasm	'saitәplæzm	n. 细胞质[医] [细]胞质，[细]胞浆
chaplaincy	ˈtʃæplɪnsi	n. 礼拜堂牧师的职位或任期
sl		[计] 仿真语言，源语言，系统语言
neumann		[计] 诺伊曼
megan		n. 梅根（女子名）
mckeown		n. (McKeown)人名；（英）麦基翁
jaime		n. 杰米（人名）
hg		abbr. 标准德语（High German）；手摇发电机（Hand Generator）
doppler	'dɔplә	a. （奥地利物理学家）多普勒的
dene	di:n	n. 沙地，沙丘，有森林的陡谷
bateson		n. (Bateson)人名；（英）贝特森贝特森
alcock		阿尔科克
akram		n. 阿克拉姆（人名）
histogram	'histәgræm	n. 直方图[计] 直方图
hellenic	he'lenik	a. 希腊的，希腊人的，希腊语的
dowel	'dauәl	n. 销子，木钉vt. 用暗销接合
udr	,ju: di: 'a:(r)	abbr. 北爱尔兰防卫团（Ulster Defence Regiment）；通用文件阅读器（ Universal Document Reader）；用户数据记录（User Data Record）
serena	sә'ri:nә	n. 塞丽娜(f.)n. 爱情小夜曲
stc		abbr. 卫星追踪委员会（Satellite Tracking Committee）；灵敏度-时间控制（Sensitivity-Time Control）；卫星电视公司（Satellite Television Corporation）；短时常数（Short-Time Constant）
northwich		诺斯威奇
nicholl		n. (Nicholl)人名；（英）尼科尔
mugabe		n. 穆加比（人名，津巴布韦总统）
marge	mɑ:dʒ	n. 边缘（等于margin）
headington		n. (Headington)人名；（英）黑丁顿
como	'kәjmәj	n. 科摩（意大利北部城市）
mucous	'mju:kәs	a. 粘液的，粘的，粘液性的[医] 粘液的
conductive	kәn'dʌktiv	a. 传导性的，有传导力的，传导的[机] 传导性的
rangoon	ræŋ'^u:n	n. 仰光（缅甸首都）
