# ECDICT bc015ed2e24a7abef49fc6dbbb7fe32c1dadaf8b | sha256 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf | pack gk | entries 873
jungle	'dʒʌŋgl	n. 丛林，杂乱的一堆，弱肉强食的地方
giraffe	dʒi'rɑ:f	n. 长颈鹿，鹿豹座
disobey	.disә'bei	v. 违反，不服从
minibus	'minibʌs	n. 中客车，小型公共汽车
sightseeing	'saitsi:iŋ	n. 观光，游览a. 观光的，游览的
kangaroo	.kæŋgә'ru:	n. 袋鼠[医] 袋鼠（澳洲产）
workmate		n. 共同工作者，同事
omelette	'ɒmlit	n. 煎蛋卷，炒蛋
westerner		n. 西方人，西洋人
chairwoman	'tʃєәwumәn	n. 女主席，女议长
badminton	'bædmintәn	n. 羽毛球运动
cordless	'kɒ:dlis	a. 无绳索的，交直流两用的
kilogram	'kilәgræm	n. 千克，公斤[医] 千克，公斤
shanghai	'ʃæŋhai	n. 上海，浦东鸡a. 上海的，上海时行的，上海风格的vt. 拐骗，胁迫
botany	'bɒtәni	n. 植物学[医] 植物学
seagull	'si:^ʌl	n. 鸥
tibet	ti'bet	n. 西藏
barbershop		n. 理发店
biochemistry	.baiәu'kemistri	n. 生物化学[化] 生物化学; 生化
airspace	'єәspeis	n. 空域，空间[机] 气隙
irrigate	'irigeit	vt. 灌溉，冲洗伤口，使清新vi. 灌溉
eraser	i'reisә	n. 擦子
bridegroom	'braidgrum	n. 新郎
walkman		n. 随身听（商标名称）
skateboard	'skeitbɔ:d	n. 溜冰板
necktie	'nektai	n. 领带
stewardess	'stju:wәdis	n. 空中小姐，女管理人，女管家
thermos	'θә:mәs	n. 热水瓶
wayside	'weisaid	n. 路旁a. 路旁的
chopsticks	'tʃɒpstiks	n. 筷子
merciful	'mә:siful	a. 仁慈的，慈悲的
tasteless	'teistlis	a. 没味道的，无鉴赏力的
beehive	'bi:haiv	n. 蜂窝，蜂箱[机] 集气架，蜂巢
snowman	'snәumæn	n. 雪人
yummy	'jʌmi	a. 美味的，可口的，赏心悦目的，愉快的
windbreaker	'wind.breikә	n. 防风林，防风茄克衫，风衣
attentively	ә'tentivli	adv. 注意地，留心地
hardworking	'hɑ:d.wә:kiŋ	a. 苦干的，不辞辛劳的
schoolmate	'sku:lmeit	n. 同窗，同学
semicircle	'semi.sә:kl	n. 半圆形
weatherman	'weðәmæn	n. 气象员；天气预报员
businesswoman	'bizniswjmæn	n. 商人，办理实务的人，经商者
undivided	.ʌndi'vaidid	a. 未分开的，专一的，（组织等）未分裂的[法] 不可分割的，完整的，未分割的
retell	ri:'tel	vt. 再讲，重复，重说
seashell	'si:ʃel	n. 海贝壳
forgetful	fә'getful	a. 健忘的，易忘的
hibernation	.haibә'neiʃәn	n. 过冬，冬眠，避寒[医] 冬眠，冬蛰
drier	'draiә	n. 干燥机，干燥剂[化] 干燥剂; 催干剂; 干燥设备; 干燥器; 烘缸
greengrocer	'gri:ngrәusә	n. 蔬菜水果商，菜贩
superman	'sju:pәmæn	n. 具有超人能力的人，超人
rewind	ri:'waind	vt. 重绕n. 重绕[计] 反绕
miniskirt	'miniskә:t	n. 超短裙
punctual	'pәŋktʃuәl	a. 准时的，守时的，点状的，中肯的[经] 准时的，不误期的，准时
playroom	'pleiru:m	n. 游戏室，娱乐室
dictation	dik'teiʃәn	n. 听写，口述，命令
regards		n. 问候，致意
changeable	'tʃeindʒәbl	a. 可改变的
saleswoman	'seilzwumәn	n. 女售货员，女店员
stopwatch	'stɒpwɒtʃ	n. 计时表，码表
bookmark	'bukmɑ:k	n. 书签[计] 书签
ottawa	'ɔtәwә	n. 渥太华
toothache	'tu:θeik	n. 牙痛[医] 牙痛
subtraction	sәb'trækʃәn	n. 减少[计] 减法
hooray	hu'rei	interj. 万岁n. 万岁v. 呼万岁
typhoon	tai'fu:n	n. 台风
hibernate	'haibәneit	vi. 过冬，冬眠，避寒
postcode	'pәustkәud	n. 邮政编码
glasshouse	'glɑ:shaus	n. 温室，玻璃工场，禁闭房
backache	'bækeik	n. 背痛
congratulation	kәn.grætʃә'leiʃәn	n. 祝贺，恭喜
motherland	'mʌðәlænd	n. 祖国
addicted	ә'diktid	a. 沉溺于……的，无法摆脱（某种嗜好）的[法] 嗜，好，惯于
ballpoint		n. 圆珠笔
washroom	'wɒʃrum	n. 盥洗室
stomachache	'stʌmәkeik	n. 胃痛，肚子痛
shaver	'ʃeivә	n. 修面的人，电动剃刀，刨刀，杀价买进期票的人，善于讨价还价的人
gruel	'gru:әl	n. 稀粥vt. 使极度疲劳，惩罚
oilfield	ˈɔɪlfi:ld	n. 油田
centigrade	'sentigreid	a. 百分度的，摄氏的[医] 百分度
videophone	'vidiәu'fәun	n. 电视电话
airmail	'єәmeil	n. 航空邮件
sharpener	'ʃɑ:pnә	n. 研磨者，卷笔刀，研磨工具
salesgirl	'seilzgә:l	n. 女店员
radium	'reidiәm	n. 镭[化] 镭Ra
sunburnt	'sʌnb\\\\:nt	a. 晒黑的，有晒斑的，日炙的
cd		n. 镭射碟，镭射唱片[计] 光盘，压缩盘，载波检测，DOS内部命令:显示或改变当前目录
birdcage	'bә:dkeidʒ	n. 鸟笼
sneaker	'sni:kә	n. 鬼鬼祟祟做事的人，卑鄙者，帆布胶底运动鞋
skipping	'skipiŋ	[计] 跳跃
postbox	'pәustbɒks	n. 邮筒
oceania	.әuʃi'æniә	n. 大洋洲
are	ɑ:	be的现在时复数或第二人称单数
beancurd	'bi:nkə:d	n. 豆腐
bedclothes	'bedklәuðz	n. 铺盖，床上用品[医] 铺盖，被褥
beddings	'bedɪŋ	n. 寝具；（建筑）[建] 基床；（家畜）草垫a. 适于花坛种植的vt. 把…栽入苗床（bed的ing形式）vi. 睡（bed的ing形式）
cance		[人名] 坎斯
chips	tʃips	n. 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
customs		n. 海关，关卡，关税[经] 关税，海关
does	dʌz; dәz	v. 做；工作；有用（do的第三人称单数形式）
dvd		abbr. 数字化视频光盘（Digital Video Disk）
grandparents		n. 外祖父母；祖父母（grandparent的复数）
handtruck	'hændtrʌk	n. 手推车，手推运货车
latest	'leitist	a. 最近的
mr.	'mistә(r)	阁下，先生
ms.	miz	女士
no.	'nʌmbә	n. 号码，编号[医] 数目，号码
refreshments		n. 茶点；点心；小吃
repairs		n. 备件；修理；修理费；修理工作（repair的复数形式）
schoolbag	'sku:lbæ^	n. 书包
scores	skɔ:z	n. 大量，众多; 二十（ score的名词复数 ）; （游戏或比赛中的）得分; 大量; 百分数
sideway	'saidwei	n. 小路，人行道，旁路
souvenirs	su:və'nɪəz	n. 纪念品（ souvenir的名词复数 ）
vcd		[电] 可变电容二极体的简写
